Date,Close
5/21/2015,2.57
5/22/2015,2.83
5/26/2015,2.97
5/27/2015,2.75
5/28/2015,2.75
5/29/2015,2.72
6/1/2015,2.73
6/2/2015,2.7
6/3/2015,2.74
6/4/2015,2.68
6/5/2015,2.74
6/8/2015,2.7
6/9/2015,2.83
6/10/2015,2.81
6/11/2015,3.07
6/12/2015,3.36
6/15/2015,3.55
6/16/2015,3.81
6/17/2015,3.86
6/18/2015,3.56
6/19/2015,3.55
6/22/2015,3.69
6/23/2015,3.54
6/24/2015,3.6
6/25/2015,3.48
6/26/2015,3.35
6/29/2015,3.13
6/30/2015,3.4
7/1/2015,3.11
7/2/2015,3.13
7/6/2015,3.05
7/7/2015,3.08
7/8/2015,2.92
7/9/2015,2.91
7/10/2015,2.96
7/13/2015,3.04
7/14/2015,3.09
7/15/2015,2.93
7/16/2015,2.94
7/17/2015,3.23
7/20/2015,3.38
7/21/2015,3.32
7/22/2015,3.21
7/23/2015,3.31
7/24/2015,3.36
7/27/2015,3.29
7/28/2015,3.41
7/29/2015,3.42
7/30/2015,3.81
7/31/2015,3.74
8/3/2015,4.04
8/4/2015,3.84
8/5/2015,3.85
8/6/2015,3.63
8/7/2015,3.52
8/10/2015,3.35
8/11/2015,3.51
8/12/2015,3.47
8/13/2015,3.53
8/14/2015,3.46
8/17/2015,3.44
8/18/2015,3.26
8/19/2015,3.11
8/20/2015,2.92
8/21/2015,2.78
8/24/2015,2.63
8/25/2015,2.69
8/26/2015,2.82
8/27/2015,2.85
8/28/2015,2.8
8/31/2015,2.75
9/1/2015,2.66
9/2/2015,2.67
9/3/2015,2.72
9/4/2015,2.68
9/8/2015,2.71
9/9/2015,2.6
9/10/2015,2.58
9/11/2015,2.64
9/14/2015,2.72
9/15/2015,2.81
9/16/2015,2.89
9/17/2015,3.56
9/18/2015,3.57
9/21/2015,3.48
9/22/2015,3.37
9/23/2015,3.35
9/24/2015,3.35
9/25/2015,3.39
9/28/2015,3.31
9/29/2015,3.36
9/30/2015,3.52
10/1/2015,3.51
10/2/2015,3.58
10/5/2015,3.68
10/6/2015,3.62
10/7/2015,3.73
10/8/2015,3.82
10/9/2015,3.7
10/12/2015,3.43
10/13/2015,3.31
10/14/2015,3.36
10/15/2015,3.41
10/16/2015,3.43
10/19/2015,3.34
10/20/2015,3.15
10/21/2015,3.2
10/22/2015,3.2
10/23/2015,3.17
10/26/2015,3.11
10/27/2015,3.1
10/28/2015,3.11
10/29/2015,3.16
10/30/2015,3.22
11/2/2015,3.1
11/3/2015,3.14
11/4/2015,3.18
11/5/2015,3.16
11/6/2015,3.15
11/9/2015,3.02
11/10/2015,2.86
11/11/2015,2.82
11/12/2015,2.89
11/13/2015,2.83
11/16/2015,2.74
11/17/2015,2.64
11/18/2015,2.8
11/19/2015,2.95
11/20/2015,2.82
11/23/2015,2.89
11/24/2015,2.7
11/25/2015,2.64
11/27/2015,2.67
11/30/2015,2.63
12/1/2015,2.63
12/2/2015,2.64
12/3/2015,2.68
12/4/2015,2.71
12/7/2015,2.69
12/8/2015,2.65
12/9/2015,2.48
12/10/2015,2.5
12/11/2015,2.48
12/14/2015,2.46
12/15/2015,2.54
12/16/2015,2.62
12/17/2015,2.65
12/18/2015,2.53
12/21/2015,2.44
12/22/2015,2.47
12/23/2015,2.49
12/24/2015,2.53
12/28/2015,2.48
12/29/2015,2.52
12/30/2015,2.6
12/31/2015,2.58
1/4/2016,2.57
1/5/2016,2.53
1/6/2016,2.53
1/7/2016,2.47
1/8/2016,2.49
1/11/2016,2.39
1/12/2016,2.37
1/13/2016,2.14
1/14/2016,2.06
1/15/2016,1.99
1/19/2016,2.03
1/20/2016,2.05
1/21/2016,2.28
1/22/2016,2.31
1/25/2016,2.31
1/26/2016,2.31
1/27/2016,2.2
1/28/2016,2.25
1/29/2016,2.32
2/1/2016,2.35
2/2/2016,2.26
2/3/2016,2.3
2/4/2016,2.35
2/5/2016,2.19
2/8/2016,2.04
2/9/2016,1.99
2/10/2016,2
2/11/2016,1.94
2/12/2016,1.93
2/16/2016,2.05
2/17/2016,2.24
2/18/2016,2.06
2/19/2016,2.06
2/22/2016,2.12
2/23/2016,2
2/24/2016,2.1
2/25/2016,2.17
2/26/2016,2.2
2/29/2016,2.24
3/1/2016,2.27
3/2/2016,2.44
3/3/2016,2.43
3/4/2016,2.52
3/7/2016,2.59
3/8/2016,2.68
3/9/2016,2.61
3/10/2016,2.54
3/11/2016,2.67
3/14/2016,2.66
3/15/2016,2.58
3/16/2016,2.68
3/17/2016,2.72
3/18/2016,2.85
3/21/2016,2.8
3/22/2016,2.75
3/23/2016,2.62
3/24/2016,2.7
3/28/2016,2.76
3/29/2016,2.8
3/30/2016,2.78
3/31/2016,2.82
4/1/2016,2.85
4/4/2016,2.93
4/5/2016,2.88
4/6/2016,2.95
4/7/2016,2.92
4/8/2016,2.96
4/11/2016,2.95
4/12/2016,2.98
4/13/2016,2.98
4/14/2016,3.1
4/15/2016,3.1
4/18/2016,3.15
4/19/2016,3.21
4/20/2016,3.15
4/21/2016,3.15
4/22/2016,3.18
4/25/2016,3.11
4/26/2016,3.15
4/27/2016,3.18
4/28/2016,3.18
4/29/2016,3.19
5/2/2016,3.14
5/3/2016,3.07
5/4/2016,2.96
5/5/2016,2.85
5/6/2016,2.77
5/9/2016,2.65
5/10/2016,2.66
5/11/2016,2.63
5/12/2016,2.7
5/13/2016,2.63
5/16/2016,2.62
5/17/2016,2.68
5/18/2016,2.63
5/19/2016,2.6
5/20/2016,2.61
5/23/2016,2.68
5/24/2016,2.71
5/25/2016,2.82
5/26/2016,2.78
5/27/2016,2.86
5/31/2016,2.93
6/1/2016,3.11
6/2/2016,2.98
6/3/2016,2.96
6/6/2016,3
6/7/2016,2.99
6/8/2016,3.01
6/9/2016,2.94
6/10/2016,2.83
6/13/2016,2.8
6/14/2016,2.91
6/15/2016,2.87
6/16/2016,2.84
6/17/2016,2.89
6/20/2016,2.98
6/21/2016,2.99
6/22/2016,2.98
6/23/2016,3.12
6/24/2016,2.91
6/27/2016,2.72
6/28/2016,2.85
6/29/2016,3.03
6/30/2016,3.08
7/1/2016,3.08
7/5/2016,3.06
7/6/2016,3.07
7/7/2016,3.04
7/8/2016,3.1
7/11/2016,3.19
7/12/2016,3.25
7/13/2016,3.2
7/14/2016,3.21
7/15/2016,3.23
7/18/2016,3.22
7/19/2016,3.33
7/20/2016,3.31
7/21/2016,3.27
7/22/2016,3.29
7/25/2016,3.26
7/26/2016,3.26
7/27/2016,3.32
7/28/2016,3.43
7/29/2016,3.43
8/1/2016,3.41
8/2/2016,3.35
8/3/2016,3.68
8/4/2016,3.69
8/5/2016,3.7
8/8/2016,3.83
8/9/2016,3.88
8/10/2016,3.93
8/11/2016,3.99
8/12/2016,3.94
8/15/2016,3.91
